isco08_code,skill_uri,skill_label,skill_type
2221,http://data.europa.eu/esco/skill/646d871b-4503-4dc8-a076-06d7085e4cde,promote human rights,essential
2221,http://data.europa.eu/esco/skill/b9f16465-56a9-426b-a047-0f9f1f95ec92,address problems critically,essential
2221,http://data.europa.eu/esco/skill/27a638bc-6362-45f8-afce-5596a606269b,impact of social contexts on health,essential
2221,http://data.europa.eu/esco/skill/78de3e5f-e3ea-4da2-aa09-3704d03ba622,advise on healthy lifestyles,essential
2221,http://data.europa.eu/esco/skill/c82f9319-cf46-4257-a8ce-542d0a7fed8f,provide treatment strategies for challenges to human health,essential
2221,http://data.europa.eu/esco/skill/3859901a-e2b4-446a-b2ee-fd32f6d9db6f,contribute to high level health strategic decisions,essential
2221,http://data.europa.eu/esco/skill/79c012c7-4b09-497e-8152-e73e5d1d3384,adapt leadership styles in healthcare,essential
2221,http://data.europa.eu/esco/skill/a46743b7-ff8c-49b6-99f7-7fa5bc241771,use electronic health records in nursing,essential
2221,http://data.europa.eu/esco/skill/441707bb-9ad3-406c-9975-a6bec96f537b,"empower individuals, families and groups",essential
2221,http://data.europa.eu/esco/skill/8eab4e4f-03f8-4a66-a830-ec4e5db43253,prescribe medication,essential
2221,http://data.europa.eu/esco/skill/2475cd27-8d6c-4318-a364-21395b23acba,empathise with the healthcare user,essential
2221,http://data.europa.eu/esco/skill/c33be9b2-a925-465c-bbbc-76694acd8b82,prescribe advanced nursing care,essential
2221,http://data.europa.eu/esco/skill/6063652e-22c4-472e-bb96-6e5ec1e7c5de,provide nursing advice on healthcare,essential
2221,http://data.europa.eu/esco/skill/c65aa043-98da-4136-9877-494e72d9e4cf,interact with healthcare users,essential
2221,http://data.europa.eu/esco/skill/e98a5096-de98-46d2-88c8-951f4029c038,evaluate nursing care,essential
2221,http://data.europa.eu/esco/skill/51e79cb4-fab3-404c-88f3-cd4a1bd5879e,deal with emergency care situations,essential
2221,http://data.europa.eu/esco/skill/977d2fd6-70f4-47b4-99d4-f7d516aff78e,conduct research in advanced nursing care,essential
2221,http://data.europa.eu/esco/skill/76395873-7fe2-4f9a-b4b6-9932f8cbd0b4,follow clinical guidelines,essential
2221,http://data.europa.eu/esco/skill/cc150c03-03b6-47c5-ab2e-8551f8020c89,diagnose advanced nursing care,essential
2221,http://data.europa.eu/esco/skill/1b3370df-c280-470c-ac35-951f42ca8b19,promote a positive image of nursing,essential
2221,http://data.europa.eu/esco/skill/bcd2ce08-ba12-4d66-865f-f4ba36419707,promote inclusion,essential
2221,http://data.europa.eu/esco/skill/a32e7fb1-af9e-4c09-8ea7-72b7442e9cda,solve problems in healthcare,essential
2221,http://data.europa.eu/esco/skill/8b8f9d21-5fae-45df-bc3a-e17e7896e699,lead research activities in nursing,essential
2221,http://data.europa.eu/esco/skill/b55f61a4-5f9e-4741-ba95-9ac04b64119b,work in a multicultural environment in health care,essential
2221,http://data.europa.eu/esco/skill/04880044-9668-45b8-b888-f3d9894bac9f,organise homecare for patients,essential
2221,http://data.europa.eu/esco/skill/4be3c34e-47ba-4881-ac74-8bd244e0b04c,participate in health personnel training,essential
2221,http://data.europa.eu/esco/skill/eba85523-6ad2-4cd9-9b27-a0b6a39b8cfa,work in multidisciplinary health teams,essential
2221,http://data.europa.eu/esco/skill/5cc97a45-69fc-4f37-a973-402d5ac561ac,initiate life preserving measures,essential
2221,http://data.europa.eu/esco/skill/d93f9e29-9740-4231-8486-13d377b99f05,develop a collaborative therapeutic relationship,essential
2221,http://data.europa.eu/esco/skill/e6bf6e73-230a-434c-97b2-a0c042a8b7ac,apply sustainability principles in health care,essential
2221,http://data.europa.eu/esco/skill/5fe3be12-9478-4327-80dd-d8378df5472a,screen patients for disease risk factors,essential
2221,http://data.europa.eu/esco/skill/1023ac61-250f-4eef-b7a9-238cf071685f,provide professional care in nursing,essential
2221,http://data.europa.eu/esco/skill/30a494f3-117e-4181-949f-9b11ef5da730,lead healthcare services changes,essential
2221,http://data.europa.eu/esco/skill/049c8caf-dd12-45fc-9bfa-b64051f32a19,respond to changing situations in health care,essential
2221,http://data.europa.eu/esco/skill/d6f0a4bb-cba6-4041-a668-c239b79f1daa,plan advanced nursing care,essential
2221,http://data.europa.eu/esco/skill/a17286c5-238d-4f0b-bc24-29e9121345de,listen actively,essential
2221,http://data.europa.eu/esco/skill/1979dafb-85ce-45da-acfe-d55353930755,implement policy in healthcare practices,essential
2221,http://data.europa.eu/esco/skill/60b2dd49-c677-4f47-816e-aff3b577e113,provide health education,essential
2221,http://data.europa.eu/esco/skill/f90d4810-8bac-4e5e-b870-3e35a4138ff7,accept own accountability,essential
2221,http://data.europa.eu/esco/skill/b00e948c-19be-4951-8cff-60f88f1046e9,delegate activities,essential
2221,http://data.europa.eu/esco/skill/13724e7d-b946-4773-915e-9621340237bc,contribute to continuity of health care,essential
2221,http://data.europa.eu/esco/skill/097098fc-6d89-44e9-9305-98ac5c0a78ac,educate on the prevention of illness,essential
2221,http://data.europa.eu/esco/skill/aa238394-8126-4ada-be2f-9dfe065cf314,adhere to organisational guidelines,essential
2221,http://data.europa.eu/esco/skill/d15ce60f-ddab-41ce-ba56-398451b77b60,have computer literacy,essential
2221,http://data.europa.eu/esco/skill/98eb1f3b-3480-416b-bd4b-811946f7e347,comply with quality standards related to healthcare practice,essential
2221,http://data.europa.eu/esco/skill/46003629-a579-4d0a-b3ea-80ef890699d6,diagnose nursing care,essential
2221,http://data.europa.eu/esco/skill/a8d24a95-47b3-4f88-92e7-06600bcd3612,manage personal professional development,essential
2221,http://data.europa.eu/esco/skill/7a63f944-6948-4ae4-9c1f-d08e492535c9,apply person-centred care,essential
2221,http://data.europa.eu/esco/skill/a49fdda1-abd1-40e0-a824-3c545d98f32e,apply health sciences,essential
2221,http://data.europa.eu/esco/skill/16636767-c215-4cf0-b126-e144fea20926,use e-health and mobile health technologies,essential
2221,http://data.europa.eu/esco/skill/71480db1-a706-47f9-952f-bdc5036e3df3,coordinate care,essential
2221,http://data.europa.eu/esco/skill/0b5aaee4-c948-4853-bf8d-b9cd6c4917ee,inform policy makers on health-related challenges,essential
2221,http://data.europa.eu/esco/skill/1d7fd6c8-10e3-43cc-b0af-6172eaedf087,make clinical decisions,essential
2221,http://data.europa.eu/esco/skill/8e0bfbba-6e9d-48e0-b152-2cc949e5022a,implement scientific decision making in healthcare,essential
2221,http://data.europa.eu/esco/skill/ae965e49-06f1-442f-87bf-e48fc1e1d8b6,analyse the care quality,essential
2221,http://data.europa.eu/esco/skill/8d0e4229-ab4d-4fec-a2e1-0bdfed44ecd7,develop advanced health promotion strategies,essential
2221,http://data.europa.eu/esco/skill/777339f8-fe81-41af-b945-6c4922031119,perform health assessment,essential
2221,http://data.europa.eu/esco/skill/ef1e6c93-2a90-4abf-951b-a8ae283d368d,carry out nurse-led discharge,essential
2221,http://data.europa.eu/esco/skill/d3eccb86-f02d-4950-bfbd-20b9510774a1,apply organisational techniques,essential
2221,http://data.europa.eu/esco/skill/a5a21732-eb04-4f94-a72f-c138b3f7c33f,clinical decision-making at advanced practice,essential
2221,http://data.europa.eu/esco/skill/ce0d6a42-59c1-433e-ab62-adfc969c46bb,ensure safety of healthcare users,essential
2221,http://data.europa.eu/esco/skill/b63bfc0b-5b35-4019-b909-68ade8d9be66,develop plans related to the transfer of care,essential
2221,http://data.europa.eu/esco/skill/516e324b-03fc-4d3b-9986-e46e9834cd43,implement fundamentals of nursing,essential
2221,http://data.europa.eu/esco/skill/9fcf9918-fdef-49c3-aedc-518eb1e7e1f5,comply with legislation related to health care,essential
