isco08_code,isco08_title,automation_probability,source_soc_codes,mapping_confidence
1120,Managing Directors and Chief Executives,0.009,11-1011|11-9161,medium
1211,Finance Managers,0.2778,11-2022|11-3031|11-3131|11-9081|11-9121|11-9199|13-1032|13-2053|13-2061,medium
1212,Human Resource Managers,0.0262,11-3121|11-9013,medium
1213,Policy and Planning Managers,0.0225,11-2031|11-3061,low
1219,Business Services and Administration Managers Not Elsewhere Classified,0.01,11-9033,low
1221,Sales and Marketing Managers,0.2176,11-1021|11-2021|11-2022|11-9071|11-9141,medium
1222,Advertising and Public Relations Managers,0.2122,11-1021|11-2011|11-2031|11-9141|13-1121,medium
1223,Research and Development Managers,0.0063,11-3131,high
131,"Production Managers in Agriculture, Forestry and Fisheries",0.75,11-9131,low
1311,Agricultural and Forestry Production Managers,0.0373,11-3021|11-3051|11-9013,medium
1312,Aquaculture and Fisheries Production Managers,0.03,11-3051,low
1321,Manufacturing Managers,0.0175,11-9041|11-9121,low
1322,Mining Managers,0.0663,11-2021|11-3031|11-3061|11-3131|11-9071|11-9081|11-9199,medium
1323,Construction Managers,0.376,11-3021|11-3051|11-3071|11-3111|11-9021|13-1051,medium
1324,"Supply, Distribution and Related Managers",0.59,11-3071,low
1330,Information and Communications Technology Service Managers,0.2832,11-3021|11-9032|11-9141,medium
1341,Child Care Service Managers,0.1688,11-3011|11-9041|11-9051|11-9111|11-9151,medium
1342,Health Service Managers,0.1236,11-3011|11-9041|11-9051|11-9111|11-9121|11-9151|11-9161,medium
1343,Aged Care Service Managers,0.2067,11-3011|11-9051|11-9111|11-9151,medium
1345,Education Managers,0.1815,11-1021|11-3061|11-3111|11-9031|11-9032|11-9033|11-9071,medium
1346,Financial and Insurance Services Branch managers,0.98,13-1032,low
1349,Professional Services Managers Not Elsewhere Classified,0.01,11-9033,high
1411,Hotel Managers,0.089,11-2022|11-9081|11-9199,medium
1412,Restaurant Managers,0.4815,11-3111|11-9161,low
1420,Retail and Wholesale Trade Managers,0.77,13-1023,low
1431,"Sports, Recreation and Cultural Centre Managers",0.2173,11-2031|11-3071|11-9013,low
2111,Physicists and Astronomers,0.1938,19-2011|19-2012|19-2042|29-1060,medium
2112,Meteorologists,0.1371,19-1012|19-1022|19-1041|19-1042|19-2032|19-2043|29-1023|29-1127|29-2021|29-2033|29-2055,low
2113,Chemists,0.1376,19-1021|19-1032|19-1041|19-2031|25-9041|27-2022|27-3041,medium
2114,Geologists and geophysicists,0.3739,19-1023|19-2012|19-2042|19-4021|19-4041|29-2091,medium
2120,"Mathematicians, Actuaries and Statisticians",0.159,15-2011|15-2021|15-2041,high
2131,"Biologists, Botanists, Zoologists and Related Professionals",0.3,19-1023,high
2132,"Farming, Forestry and Fisheries Advisers",0.0075,25-9021,low
2133,Environmental Protection Professionals,0.4015,19-2041|19-4091,low
2141,Industrial and Production Engineers,0.0234,17-2112|25-9031|27-1021,medium
2142,Civil Engineers,0.033,17-2051|17-2112|17-2161|17-2199,high
2143,Environmental Engineers,0.0466,17-2011|17-2081|17-2171|19-2041|21-1014,medium
2144,Mechanical Engineers,0.2856,17-2021|17-2031|17-2041|17-2061|17-2071|17-2131|17-2141|17-2161|17-3013|19-4031|19-4051|27-1021|27-1027|27-3042,medium
