from_isco,to_isco,missing_skill_uri,missing_skill_label
2221,2356,http://data.europa.eu/esco/skill/3c134a08-521f-489d-9ff0-d84fcdc963eb,create SCORM packages
2221,2356,http://data.europa.eu/esco/skill/3d957fb2-b8f4-4b4c-b955-23299c761ad5,design web-based courses
2221,2356,http://data.europa.eu/esco/skill/49dd67a9-d0a6-4375-b856-85e09032fdac,keep up to date with subject knowledge
2221,2356,http://data.europa.eu/esco/skill/4c5d616e-f6d8-4fb4-8ce6-89a4b048b916,create training materials
2221,2356,http://data.europa.eu/esco/skill/4f6e68b2-85c8-446e-a96d-b306ec7e0091,training  subject expertise
2221,2356,http://data.europa.eu/esco/skill/59eb177a-2f30-4943-8b30-5f87dd51a80d,apply teaching strategies
2221,2356,http://data.europa.eu/esco/skill/728ad40d-4a79-4b4d-b77b-a48d094d73fa,evaluate training
2221,2356,http://data.europa.eu/esco/skill/8193f6c6-80d5-4542-a316-2b783e3d8ad9,plan learning curriculum
2221,2356,http://data.europa.eu/esco/skill/90e8f54b-064f-4721-8ccc-b5f61968b227,organise training
2221,2356,http://data.europa.eu/esco/skill/b6d14ab8-3441-4cbe-8a0e-5b4f7f994730,develop digital educational materials
2221,2356,http://data.europa.eu/esco/skill/c55caed2-de9e-4a25-819e-a0b0e83fba1b,give live presentation
2221,2512,http://data.europa.eu/esco/skill/04dfd9fb-e0cf-40f6-96c6-9d2280c4347e,provide technical documentation
2221,2512,http://data.europa.eu/esco/skill/09f2f811-a3fb-4de3-a70f-6420a6935575,systems development life-cycle
2221,2512,http://data.europa.eu/esco/skill/0b0335f3-0aa1-491e-895e-81fc8774a300,develop automated migration methods
2221,2512,http://data.europa.eu/esco/skill/0e0c9c11-b39e-43cf-ba95-2fe646f5de64,identify customer requirements
2221,2512,http://data.europa.eu/esco/skill/0ee94c0a-3716-494a-95a2-dcbab9e58be2,business requirements techniques
2221,2512,http://data.europa.eu/esco/skill/1019423b-3368-4f83-b24f-19e5fa23e816,software UI design patterns
2221,2512,http://data.europa.eu/esco/skill/172020d1-e151-445b-8173-e2a5fb16fe51,utilise computer-aided software engineering tools
2221,2512,http://data.europa.eu/esco/skill/209a5498-3449-4689-8ed9-bd08cab4fd78,engineering principles
2221,2512,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,computer programming
2221,2512,http://data.europa.eu/esco/skill/2450c3b3-e78e-435b-b84d-e05d984e71dc,software architecture models
2221,2512,http://data.europa.eu/esco/skill/2522a6ce-3202-4ac8-9f5b-b9cb5a3a83a1,debug software
2221,2512,http://data.europa.eu/esco/skill/2857540c-180b-4208-9127-e94a01871966,align software with system architectures
2221,2512,http://data.europa.eu/esco/skill/2b7a79e5-84d8-4880-be66-3d9bb05bea17,use software design patterns
2221,2512,http://data.europa.eu/esco/skill/2c28fc20-8a60-4311-8899-5ef8729c05b3,design process
2221,2512,http://data.europa.eu/esco/skill/2d6d4784-0992-48e7-b100-22d7229b3f0a,translate requirement concepts into visual design
2221,2512,http://data.europa.eu/esco/skill/3bddfd7c-ab6d-40c2-883d-5e97fb7640ba,create software design
2221,2512,http://data.europa.eu/esco/skill/48b68726-0fd6-4e03-a5eb-82236516ee7a,provide cost benefit analysis reports
2221,2512,http://data.europa.eu/esco/skill/4fabca9a-7435-4f33-b1da-3cdb00340fdc,perform scientific research
2221,2512,http://data.europa.eu/esco/skill/541561bc-510c-4a99-881c-2d8bf5a85462,use technical drawing software
2221,2512,http://data.europa.eu/esco/skill/56042303-972b-41be-9310-58467599ff7e,analyse business processes
2221,2512,http://data.europa.eu/esco/skill/59ea80e1-463a-4dba-82c6-d0b6d577d532,technical drawings
2221,2512,http://data.europa.eu/esco/skill/5be3d306-6cf1-4b49-aa1d-01651dd4ba4c,object-oriented modelling
2221,2512,http://data.europa.eu/esco/skill/6014921e-1d25-4039-adc2-04852d61880e,ICT debugging tools
2221,2512,http://data.europa.eu/esco/skill/695c3249-18e7-4435-bdb8-54a16011159d,develop documentation in accordance with legal requirements
2221,2512,http://data.europa.eu/esco/skill/69bbd53f-fbb0-4476-b4b2-ef7844464e28,web programming
2221,2512,http://data.europa.eu/esco/skill/6a899482-8bcf-40ca-ae67-579a1cc467ab,manage engineering project
2221,2512,http://data.europa.eu/esco/skill/7111b95d-0ce3-441a-9d92-4c75d05c4388,project management
2221,2512,http://data.europa.eu/esco/skill/71746a0b-e58d-4dc4-ad03-bd84082eae21,collect customer feedback on applications
2221,2512,http://data.europa.eu/esco/skill/7193cb6d-8334-494f-86e5-21e6d03a47c3,unified modelling language
2221,2512,http://data.europa.eu/esco/skill/72a74f69-5cf1-43c5-99b9-62a444578919,engineering processes
2221,2512,http://data.europa.eu/esco/skill/7364cc39-b9c0-449f-9416-57723e2fd9c4,utilise methodologies for user centered design
2221,2512,http://data.europa.eu/esco/skill/797a4416-0b8d-44f3-8fcd-eb10bd0be6b4,develop software prototype
2221,2512,http://data.europa.eu/esco/skill/83b33952-3872-46ec-9a2e-b28f91303a7e,oversee development of software
2221,2512,http://data.europa.eu/esco/skill/85c11255-469f-41bd-a6d1-382bc4a87783,interpret technical texts
2221,2512,http://data.europa.eu/esco/skill/861313ba-3a1a-4d33-842a-1b8e45e2415b,manage ICT legacy implication
