soc_code,soc_title,isco08_code,isco08_title,mapping_type
29-1125,Recreational Therapists,2264,Physiotherapists,partial
29-1125,Recreational Therapists,2330,Secondary Education Teachers,partial
29-1125,Recreational Therapists,3251,Dental Assistants and Therapists,partial
49-1011,"First-Line Supervisorsof Mechanics, Installers, and Repairers",7232,Aircraft Engine Mechanics and Repairers,partial
49-1011,"First-Line Supervisorsof Mechanics, Installers, and Repairers",7413,Electrical Line Installers and Repairers,partial
49-1011,"First-Line Supervisorsof Mechanics, Installers, and Repairers",7311,Precision-instrument Makers and Repairers,partial
11-9161,Emergency Management Directors,1120,Managing Directors and Chief Executives,approximate
11-9161,Emergency Management Directors,1342,Health Service Managers,approximate
11-9161,Emergency Management Directors,1412,Restaurant Managers,approximate
21-1023,Mental Healthand Substance Abuse Social Workers,3257,Environmental and Occupational Health Inspectors and Associates,partial
21-1023,Mental Healthand Substance Abuse Social Workers,3253,Community Health Workers,partial
29-1181,Audiologists,2266,Audiologists and Speech Therapists,direct
29-1122,Occupational Therapists,2264,Physiotherapists,partial
29-1122,Occupational Therapists,2320,Vocational Education Teachers,partial
29-1122,Occupational Therapists,2266,Audiologists and Speech Therapists,partial
29-2091,Orthotistsand Prosthetists,2266,Audiologists and Speech Therapists,partial
29-2091,Orthotistsand Prosthetists,2114,Geologists and geophysicists,partial
21-1022,Healthcare Social Workers,3253,Community Health Workers,partial
21-1022,Healthcare Social Workers,2641,Authors and Related Writers,approximate
21-1022,Healthcare Social Workers,3412,Social Work Associate Professionals,direct
29-1022,Oraland Maxillofacial Surgeons,3352,Government Tax and Excise Officials,approximate
29-1022,Oraland Maxillofacial Surgeons,2211,Generalist Medical Practitioners,direct
33-1021,First-Line Supervisorsof Fire Fightingand Prevention Workers,5411,Fire Fighters,direct
29-1031,Dietitiansand Nutritionists,2265,Dieticians and Nutritionists,direct
11-9081,Lodging Managers,1322,Mining Managers,direct
11-9081,Lodging Managers,1211,Finance Managers,partial
11-9081,Lodging Managers,1411,Hotel Managers,partial
27-2032,Choreographers,2653,Dancers and Choreographers,direct
27-2032,Choreographers,3431,Photographers,direct
41-9031,Sales Engineers,3151,Ships' Engineers,direct
41-9031,Sales Engineers,5242,Sales Demonstrators,partial
29-1060,Physiciansand Surgeons,2111,Physicists and Astronomers,partial
29-1060,Physiciansand Surgeons,2652,"Musicians, Singers and Composers",partial
29-1060,Physiciansand Surgeons,2265,Dieticians and Nutritionists,partial
25-9031,Instructional Coordinators,2141,Industrial and Production Engineers,partial
25-9031,Instructional Coordinators,2320,Vocational Education Teachers,partial
25-9031,Instructional Coordinators,2651,Visual Artists,approximate
19-3039,"Psychologists, All Other",2634,Psychologists,direct
33-1012,First-Line Supervisorsof Policeand Detectives,3355,Police Inspectors and Detectives,approximate
33-1012,First-Line Supervisorsof Policeand Detectives,3341,Office Supervisors,approximate
33-1012,First-Line Supervisorsof Policeand Detectives,5151,"Cleaning and Housekeeping Supervisors in Offices, Hotels and Other Establishments",approximate
29-1021,"Dentists, General",2261,Dentists,direct
25-2021,"Elementary School Teachers, Except Special Education",2341,Primary School Teachers,partial
25-2021,"Elementary School Teachers, Except Special Education",2342,Early Childhood Educators,direct
19-1042,"Medical Scientists, Except Epidemiologists",2240,Paramedical Practitioners,partial
19-1042,"Medical Scientists, Except Epidemiologists",2112,Meteorologists,approximate
19-1042,"Medical Scientists, Except Epidemiologists",2211,Generalist Medical Practitioners,approximate
11-9032,"Education Administrators, Elementaryand Secondary School",1345,Education Managers,direct
11-9032,"Education Administrators, Elementaryand Secondary School",1330,Information and Communications Technology Service Managers,direct
29-1081,Podiatrists,2262,Pharmacists,partial
29-1081,Podiatrists,2261,Dentists,partial
29-1081,Podiatrists,2651,Visual Artists,partial
19-3031,"Clinical, Counseling, and School Psychologists",2634,Psychologists,direct
21-1014,Mental Health Counselors,3253,Community Health Workers,partial
21-1014,Mental Health Counselors,3333,Employment agents and contractors,partial
21-1014,Mental Health Counselors,2143,Environmental Engineers,partial
51-6092,Fabricand Apparel Patternmakers,7532,Garment and Related Patternmakers and Cutters,partial
51-6092,Fabricand Apparel Patternmakers,7112,Bricklayers and Related Workers,partial
51-6092,Fabricand Apparel Patternmakers,7234,Bicycle and Related Repairers,approximate
27-1027,Setand Exhibit Designers,2166,Graphic and Multimedia Designers,partial
27-1027,Setand Exhibit Designers,2163,Product and Garment Designers,partial
27-1027,Setand Exhibit Designers,2144,Mechanical Engineers,approximate
11-3121,Human Resources Managers,1212,Human Resource Managers,direct
39-9032,Recreation Workers,5311,Child Care Workers,partial
39-9032,Recreation Workers,5142,Beauticians and Related Workers,partial
39-9032,Recreation Workers,5241,Fashion and Other Models,approximate
11-3131,Trainingand Development Managers,1223,Research and Development Managers,direct
11-3131,Trainingand Development Managers,1322,Mining Managers,partial
11-3131,Trainingand Development Managers,1211,Finance Managers,partial
29-1127,Speech-Language Pathologists,2353,Other Language Teachers,partial
29-1127,Speech-Language Pathologists,2634,Psychologists,partial
29-1127,Speech-Language Pathologists,2112,Meteorologists,approximate
15-1121,Computer Systems Analysts,2511,Systems Analysts,direct
11-9151,Socialand Community Service Managers,1341,Child Care Service Managers,direct
11-9151,Socialand Community Service Managers,1342,Health Service Managers,partial
11-9151,Socialand Community Service Managers,1343,Aged Care Service Managers,partial
25-4012,Curators,2621,Archivists and Curators,direct
29-9091,Athletic Trainers,3421,Athletes and Sports Players,partial
29-9091,Athletic Trainers,2151,Electrical Engineers,partial
29-9091,Athletic Trainers,2354,Other Music Teachers,partial
11-9111,Medicaland Health Services Managers,1342,Health Service Managers,direct
11-9111,Medicaland Health Services Managers,1343,Aged Care Service Managers,direct
11-9111,Medicaland Health Services Managers,1341,Child Care Service Managers,partial
25-2011,"Preschool Teachers, Except Special Education",2341,Primary School Teachers,partial
